2022-01-01 13:37:52.036896
2022-01-01 13:42:35.051953
2022-01-01 13:55:50.046658
2022-01-01 14:06:04.809821
2022-01-01 14:24:12.096997
2022-01-01 14:37:16.545168
2022-01-01 14:50:19.063033
2022-01-01 14:58:20.876407
2022-01-01 15:09:01.765770
2022-01-01 15:22:31.356927
2022-01-01 15:31:04.586419
2022-01-01 15:38:41.089419
2022-01-01 15:45:31.607358
2022-01-01 15:56:15.460149
2022-01-01 16:11:34.602477
2022-01-01 16:19:32.426627
2022-01-01 16:28:31.624015
2022-01-01 16:34:34.868938
2022-01-01 16:54:38.824776
2022-01-01 17:04:01.991787
2022-01-01 17:31:17.238012
2022-01-01 17:38:18.777421
2022-01-01 17:48:22.278218
2022-01-01 18:14:16.171295
2022-01-01 18:37:18.023235
2022-01-01 18:41:35.601935
2022-01-01 18:48:35.109174
2022-01-01 18:56:45.925655
2022-01-01 19:05:26.075859
2022-01-01 19:19:39.920456
2022-01-01 19:25:33.165023
2022-01-01 19:35:37.698823
2022-01-01 20:10:44.575213
2022-01-01 20:18:15.139071
2022-01-01 20:24:13.382216
2022-01-01 20:40:54.266280
2022-01-01 20:49:13.103674
2022-01-01 20:58:15.294576
2022-01-01 21:04:00.466920
2022-01-01 21:12:34.303454
2022-01-01 21:24:10.474042
2022-01-01 21:30:22.706543
2022-01-01 21:41:16.529196
2022-01-01 21:50:34.666459
2022-01-01 21:59:30.836814
2022-01-02 11:00:22.981992
2022-01-02 11:13:55.920415
2022-01-02 11:17:57.463242
2022-01-02 11:24:10.660162
2022-01-02 11:29:18.588086
2022-01-02 11:37:08.475868
2022-01-02 11:44:23.037907
2022-01-02 11:55:22.927204
2022-01-02 11:59:33.453488
2022-01-02 12:03:46.989196
2022-01-02 12:21:29.212994
2022-01-02 12:32:33.093368
2022-01-02 12:50:51.298313
2022-01-02 13:08:03.193103
2022-01-02 13:13:52.365606
2022-01-02 13:21:53.197815
2022-01-02 13:28:47.782153
2022-01-02 13:37:56.027949
2022-01-02 14:13:00.731009
2022-01-02 14:28:13.839067
2022-01-02 14:34:19.070380
2022-01-02 14:39:21.951830
2022-01-02 14:44:36.829009
2022-01-02 14:52:27.654390
2022-01-02 15:10:47.824952
2022-01-02 15:21:55.710059
2022-01-02 15:28:33.207199
2022-01-02 15:36:36.071250
2022-01-02 15:49:36.500231
2022-01-02 15:57:50.356889
2022-01-02 16:03:04.266957
2022-01-02 16:20:12.054561
2022-01-02 16:26:11.265783
2022-01-02 16:31:19.166986
2022-01-02 16:52:04.343074
2022-01-02 16:59:23.918509
2022-01-02 17:14:31.076253
2022-01-02 17:19:29.926493
2022-01-02 17:41:30.413703
2022-01-02 17:45:33.923082
2022-01-02 17:55:40.473553
2022-01-02 18:08:32.952317
2022-01-02 18:17:55.170003
2022-01-02 18:31:44.109362
2022-01-02 18:36:39.007790
2022-01-02 18:44:47.841603
2022-01-02 18:52:00.334337
2022-01-02 19:06:12.131789
2022-01-02 19:11:10.998920
2022-01-02 19:20:18.228156
2022-01-02 19:26:10.416237
2022-01-02 19:31:00.261423
2022-01-02 19:39:27.139287
2022-01-02 19:47:05.993691
2022-01-02 19:53:25.213806
2022-01-02 19:58:26.063277
2022-01-02 20:06:24.927119
2022-01-02 20:12:26.121447
2022-01-02 20:25:26.653022
2022-01-02 20:31:17.827438
2022-01-02 20:36:31.667293
2022-01-02 20:47:32.512374
2022-01-02 20:56:24.649723
2022-01-02 21:06:36.203071
2022-01-02 21:10:29.742321
2022-01-02 21:15:53.638902
2022-01-02 21:22:38.117540
2022-01-02 21:35:56.623776
2022-01-02 21:41:55.844975
2022-01-02 21:49:11.411855
2022-01-02 21:57:10.324874
