1077.150539,1077.597362
2877.180097,2877.180097,2877.180097
4677.162153,4677.162154,4677.162155
10077.164467,10077.164468
11877.171116,11877.171117,11877.171117
17277.239753,17277.239754,17277.239754
35277.202917,35277.202918,35277.202919
44277.261657
49677.246541,49677.246541,49677.246542
51477.314149
55077.297628
62277.352896,62277.352897,62277.352898
73077.417356,73077.417360,73077.417360
83877.392035
87477.353319
89277.434411,89277.434413,89277.434414
94677.374053,94677.374053,94677.374053
98277.379226,98277.379228,98277.379228
105477.410617,105477.410618,105477.410618
107277.415471,107277.415472,107277.415472
116277.426316,116277.426318,116277.426318
118077.432734
125277.515636,125277.515637
128877.511411,128877.511412
136077.537554,136077.537554,136077.537555
137877.517003
141944.341217,141944.341218,141944.341219
145544.329598,145544.329599,145544.340343,145544.340344
149144.391946,149144.391946,149144.391947
152744.356303,152744.356304
154544.354350,154544.354351,154544.354351
158144.468294,158144.468295,158144.468295
161744.349072,161744.349073,161744.349073
163544.311345,163544.311346
174344.424296,174344.424788
185144.407445,185144.407445,185144.407446
194144.555999,194144.556001,194144.556001
197744.534641,197744.534643
201344.596604,201344.596605,201344.596605
203144.595847,203144.595847
204944.500702
208544.511197,208544.512261,208544.514229,208544.515691
213944.541222
218429.777247,218429.777249
220229.740282,220229.740283,220229.740284
223829.749075
225629.826036,225629.826036,225629.826036
241989.178844,241989.178844
249030.994233,249030.994234,249030.994234,249030.994235
250831.043759,250831.043760,250831.043760
252631.028642,252631.028643,252631.028644
256230.969754,256230.969755
259830.989362,259830.989364
261631.062931,261631.062932,261631.062932
265231.074010,265231.074011
267031.224221,267031.224222,267031.224223
272431.092787,272431.092787
276031.079544,276031.079545,276031.079545
277831.142494,277831.142495,277831.142496
283231.127425,283231.127426
286831.134854,286831.134855,286831.134855
294031.153049
299431.118029
308431.147962,308431.147963
313880.300419
321080.336245,321080.336245,321080.336245
328280.362954,328280.362955
335480.402003,335480.402003,335480.402003,335480.402004
337280.378456
339080.388616,339080.388616
342680.391661
355280.433549,355280.433550,355280.433551
357080.439272,357080.439273,357080.439273
358880.450573,358880.450574,358880.450575
360680.503937,360680.503937,360680.503938
366080.461108,366080.461109,366080.461110
371480.517833,371480.517835,371480.517835
376880.489122,376880.489123,376880.489124,376880.489125
385880.544083,385880.544084
389883.928170,389883.928172,389883.928173
391683.914669,391683.934924
397083.956013,397083.956014
400684.050566
402484.008399,402484.008400
404283.981781
406083.960532,406083.960533,406083.960533
409684.056198,409684.056200
411484.061943,411484.061943
413284.051378,413284.051378,413284.051379
416884.010909,416884.010910
418684.025804,418684.025805,418684.025805
420484.037050,420484.037050,420484.037051
424084.060184
429484.069067,429484.069068,429484.069068
