1640966404.261595,1640966404.267481,1640966404.374538
1640966420.296723,1640966420.302652,1640966420.366239
1640966436.342872,1640966436.350588,1640966436.368659
1640966452.356953,1640966452.366478,1640966452.619570
1640966468.399372,1640966468.406051,1640966468.841450,1640966468.907551,1640966468.907552
1640966484.446248,1640966484.454149,1640966484.642364
1640966500.630504,1640966500.636588,1640966500.869887
1640966516.649615,1640966516.665017,1640966516.913132
1640966532.684818,1640966532.693994,1640966532.943490
1640966549.158681,1640966549.165317,1640966549.368092
1640966565.212837,1640966565.218666,1640966565.371159
1640966581.343270,1640966581.350355,1640966581.749826
1640966597.377462,1640966597.385919,1640966597.622039
1640966613.386917,1640966613.393189,1640966613.619548
1640966629.396150,1640966629.404360,1640966629.616262
1640966634.129040,1640966634.136052,1640966634.368607
1640966645.406393,1640966645.413000,1640966645.617198
1640966656.137273,1640966656.144766,1640966656.370012
1640966672.156240,1640966672.162185,1640966672.166233
1640966688.172993,1640966688.178570,1640966688.365871
1640966704.190598,1640966704.196867,1640966704.367780
1640966720.222074,1640966720.233132,1640966720.370032
1640966736.244850,1640966736.251063,1640966736.368917
1640966752.262941,1640966752.268654,1640966752.365381
1640966768.266107,1640966768.272443,1640966768.364805
1640966784.305103,1640966784.311571,1640966784.373138
1640966800.316262,1640966800.323168,1640966800.367179
1640966816.327204,1640966816.336116,1640966816.364728
1640966832.337596,1640966832.351845,1640966832.365612
1640966848.357086,1640966848.366041,1640966848.618820
1640966864.377167,1640966864.382624,1640966864.615229
1640966880.387569,1640966880.398399,1640966880.616661
1640966896.398001,1640966896.403934,1640966896.617791
1640966912.407104,1640966912.414819,1640966912.621996
1640966928.417680,1640966928.423752,1640966928.615782
1640966944.427542,1640966944.435282,1640966944.615708
1640966956.139665,1640966956.148161,1640966956.366329
1640966972.178256,1640966972.184307,1640966972.197554
1640966988.198612,1640966988.206068,1640966988.366357
1640967004.209714,1640967004.215467,1640967004.369734
1640967020.219793,1640967020.225641,1640967020.370159
1640967036.306990,1640967036.313571,1640967036.446418
1640967052.317763,1640967052.324600,1640967052.369924
1640967068.329472,1640967068.337378,1640967068.371696
1640967084.410424,1640967084.415684,1640967084.623994
1640967100.425855,1640967100.432274,1640967100.618053
1640967116.445633,1640967116.451256,1640967116.617034
1640967124.179323,1640967124.186189,1640967124.366887
1640967140.189437,1640967140.195706,1640967140.367141
1640967156.200310,1640967156.207564,1640967156.368458
1640967172.208795,1640967172.219643,1640967172.367295
1640967188.227029,1640967188.233570,1640967188.367210
1640967204.239144,1640967204.245612,1640967204.367357
1640967220.255458,1640967220.261632,1640967220.367644
1640967236.268975,1640967236.281079,1640967236.367645
1640967252.281036,1640967252.286342,1640967252.367468
1640967256.141012,1640967256.147043,1640967256.231230
1640967272.159284,1640967272.166455,1640967272.367367
1640967288.169904,1640967288.178949,1640967288.375391
1640967304.189471,1640967304.195048,1640967304.368720
1640967320.199641,1640967320.207520,1640967320.376489
1640967336.211875,1640967336.222985,1640967336.368478
1640967352.230145,1640967352.235852,1640967352.386979
1640967368.246036,1640967368.251768,1640967368.370585
1640967384.259920,1640967384.309671,1640967384.311313,1640967384.368482
1640967400.319354,1640967400.325758,1640967400.325759,1640967400.368155
1640967416.330956,1640967416.339237,1640967416.371538
1640967432.345166,1640967432.354542,1640967432.369596
1640967448.376093,1640967448.384391,1640967448.627644
1640967464.397889,1640967464.403658,1640967464.619066
1640967480.416599,1640967480.427201,1640967480.622287
1640967496.446962,1640967496.454437,1640967496.622785
1640967512.470458,1640967512.477216,1640967512.627977
1640967528.480730,1640967528.488589,1640967528.618857
1640967544.494612,1640967544.500267,1640967544.624895
1640967556.148025,1640967556.154692,1640967556.369744
1640967572.161561,1640967572.169591,1640967572.177733
1640967588.174205,1640967588.179977,1640967588.372553
1640967604.184813,1640967604.191714,1640967604.378757
1640967620.191517,1640967620.198630,1640967620.369672
1640967636.210563,1640967636.217468,1640967636.368814
1640967652.223989,1640967652.230888,1640967652.370882
1640967668.231383,1640967668.239107,1640967668.380446
1640967684.262236,1640967684.269560,1640967684.369424
1640967700.273859,1640967700.279825,1640967700.373410
1640967703.325408,1640967703.336543,1640967703.353116,1640967703.353429,1640967703.360070,1640967703.369785,1640967703.376014,1640967703.572294,1640967703.578434,1640967703.631150
1640967719.582875,1640967719.590328,1640967719.624054
1640967735.590924,1640967735.596871,1640967735.622179
1640967751.601614,1640967751.614918,1640967751.625159
1640967767.632150,1640967767.640370,1640967767.870982
1640967783.642645,1640967783.649765,1640967783.870457
1640967799.657850,1640967799.665529,1640967799.871416
1640967815.671543,1640967815.677365,1640967815.903688
1640967831.682068,1640967831.689956,1640967831.870195
1640967847.694443,1640967847.703970,1640967847.870438
1640967856.144668,1640967856.151727,1640967856.155331
1640967872.173185,1640967872.180454,1640967872.370762
1640967888.187119,1640967888.194026,1640967888.373453
1640967904.205986,1640967904.212650,1640967904.370627
1640967920.223173,1640967920.242371,1640967920.371035
1640967936.242536,1640967936.254625,1640967936.371036
1640967952.262215,1640967952.268209,1640967952.382829
1640967968.272841,1640967968.280716,1640967968.370423
1640967984.282438,1640967984.288775,1640967984.371135
1640968000.292464,1640968000.298454,1640968000.372659
1640968016.302416,1640968016.310180,1640968016.375028
1640968032.322476,1640968032.329359,1640968032.371159
1640968048.338938,1640968048.348469,1640968048.379817
1640968064.370216,1640968064.378388,1640968064.634766
1640968080.382391,1640968080.389831,1640968080.620936
1640968096.393283,1640968096.398851,1640968096.626392
1640968112.403828,1640968112.409401,1640968112.623162
1640968128.424379,1640968128.430115,1640968128.625056
