1640966414.285927,1640966414.328655,1640966414.487802
1640966432.740697,1640966432.792492,1640966432.946997
1640966473.001018,1640966473.082589,1640966473.195484
1640966513.139488,1640966513.238569,1640966513.499386
1640966553.276451,1640966553.343205,1640966553.537717
1640966593.379621,1640966593.456219,1640966593.689363
1640966610.830470,1640966610.881597,1640966610.984602,1640966610.993147,1640966611.008164,1640966611.035349,1640966611.088835,1640966611.197176,1640966611.238127,1640966611.403297,1640966611.447024,1640966611.544749,1640966611.583042,1640966611.604754,1640966611.702948
1640966651.646171,1640966651.687878,1640966651.945546
1640966691.715165,1640966691.756951,1640966691.991750
1640966710.437183,1640966710.476209,1640966710.929022,1640966711.146480
1640966731.829908,1640966731.887130,1640966731.941069,1640966732.749538,1640966732.795567,1640966732.959073
1640966772.915610,1640966772.961141,1640966773.194599
1640966813.045795,1640966813.085359,1640966813.252089
1640966853.161792,1640966853.202458,1640966853.468420
1640966893.226291,1640966893.266074,1640966893.439510
1640966933.351544,1640966933.391820,1640966933.479820
1640966973.416300,1640966973.464087,1640966973.698478
1640967013.519621,1640967013.562469,1640967013.724705
1640967032.817057,1640967032.897559,1640967033.027158
1640967073.014369,1640967073.053951,1640967073.370733
1640967084.597314,1640967084.687415,1640967084.698543
1640967124.740721,1640967124.792275,1640967124.952507
1640967145.002144,1640967145.043726,1640967145.205959
1640967185.081713,1640967185.159750,1640967185.245007
1640967225.180703,1640967225.220305,1640967225.488090
1640967229.596577,1640967229.644605,1640967229.707671
1640967269.724964,1640967269.769747,1640967269.952348
1640967289.795747,1640967289.844687,1640967289.999523
1640967329.875349,1640967329.916986,1640967329.951800
1640967332.732070,1640967332.771587,1640967333.006252
1640967350.631127,1640967350.678439,1640967350.953101
1640967390.761397,1640967390.800456,1640967390.965636
1640967430.821921,1640967430.866456,1640967430.953729
1640967470.940842,1640967470.979863,1640967471.247142
1640967511.014526,1640967511.054862,1640967511.207450
1640967512.822761,1640967512.870309,1640967512.967856
1640967552.903781,1640967552.985637,1640967553.203390
1640967593.001107,1640967593.091271,1640967593.127993
1640967632.745009,1640967632.785503,1640967632.959023
1640967649.845835,1640967649.886345,1640967649.957851
1640967689.916471,1640967689.955781,1640967690.202930
1640967709.635005,1640967709.676048,1640967709.761325
1640967749.711722,1640967749.823217,1640967749.850963,1640967749.980762
1640967790.149702,1640967790.189045,1640967790.189045,1640967790.464087
1640967830.274241,1640967830.321489,1640967830.467716
1640967870.409103,1640967870.456221,1640967870.511981
1640967910.469779,1640967910.510407,1640967910.747505
1640967926.619365,1640967926.668841,1640967926.722427,1640967927.062547,1640967927.105336,1640967927.234280
1640967932.763724,1640967932.815189,1640967932.866428
1640967972.904264,1640967972.944500,1640967973.019857
1640968012.956966,1640968012.997699,1640968013.413672,1640968013.762192
1640968053.508557,1640968053.557688,1640968053.723940
1640968093.670013,1640968093.708774,1640968093.968458
1640968133.774972,1640968133.821612,1640968133.979047
1640968173.850387,1640968173.892491,1640968174.020139
1640968213.961924,1640968214.045057,1640968214.262203
1640968232.737638,1640968232.816228,1640968233.002207
1640968272.882844,1640968272.932263,1640968272.968764
1640968312.977971,1640968313.017392,1640968313.220531
1640968353.032918,1640968353.071556,1640968353.221997
1640968393.093342,1640968393.136239,1640968393.260549
1640968410.882674,1640968410.946966,1640968411.086357,1640968411.101736,1640968411.121408,1640968411.139413,1640968411.164776,1640968411.224281,1640968411.286268,1640968411.395164,1640968411.487523,1640968411.568684
1640968451.423576,1640968451.462055,1640968451.462240,1640968451.470978
1640968491.478203,1640968491.525868,1640968491.770583
1640968531.603507,1640968531.647672,1640968531.729311
1640968532.746628,1640968532.884053,1640968532.972711
1640968572.974472,1640968573.013994,1640968573.223086
1640968613.037202,1640968613.081337,1640968613.223190
