1640972520.208692,1640972520.303001
1640974320.211119,1640974320.280303
1640976120.222317
1640976121.290492
1640979720.253528
1640979721.267072
1640981682.221143,1640981682.265219
1640981684.549167,1640981684.589501
1640981686.889007,1640981686.929016
1640981696.222139,1640981696.260901
1640981698.559599,1640981698.598866
1640981700.901591,1640981700.942096
1640989555.785187,1640989555.839234
1640993155.806381,1640993155.912259
1641000355.836878,1641000355.956379
1641011155.894177,1641011155.961257
1641012955.893501,1641012955.946284
1641014755.900064,1641014756.031261
1641018355.912056,1641018355.996389
1641025555.898358,1641025556.028696
1641029156.003200,1641029156.151133
1641030956.031779,1641030956.133012
1641034556.015319,1641034556.092847
1641039956.028743,1641039956.134513
1641041756.027819
1641045356.046394,1641045356.185625
1641047156.065773,1641047156.174668
1641048956.080341,1641048956.260020
1641052556.085879,1641052556.227908
1641056156.077686
1641056157.189206
1641063356.137949,1641063356.234432
1641066956.136145,1641066956.187523
1641068052.659809,1641068052.716465
1641068055.006119,1641068055.049908
1641068057.335020,1641068057.380734
1641071548.816134,1641071548.940499
1641076948.846856
1641076949.917112
1641087748.895275
1641087750.018119
1641091348.913320,1641091348.970394
1641093148.921783,1641093149.064359
1641114749.032969,1641114749.188988
1641120149.060045,1641120149.141146
1641123749.140398,1641123749.216383
1641127349.099074,1641127349.178813
1641130949.120913,1641130949.164322
1641136349.145024,1641136349.213302
1641157949.441278
1641159749.230101,1641159749.294222
1641165149.261723,1641165149.357943
1641172349.307739,1641172349.412856
1641174149.313871,1641174149.396845
1641175949.329920
1641175950.415133
1641181349.356082,1641181349.450785
1641188549.421740,1641188549.515106
1641197549.433248,1641197549.501620
1641206549.496072,1641206549.545553
1641208349.509534
1641208350.556781
1641217349.548364,1641217349.654114
1641219149.544275,1641219149.634471
1641224549.587953,1641224549.704818
1641231749.627919,1641231749.745480
1641233549.634593,1641233549.734695
1641235349.636170,1641235349.719710
1641241147.613530,1641241147.658316
1641241149.945352,1641241149.986389
1641241152.285463,1641241152.327601
1641242371.932410,1641242371.996645
1641245971.962467,1641245972.002701
1641251371.979283,1641251372.025285
1641253171.993368,1641253172.118645
1641258572.008000,1641258572.074754
1641269372.036598,1641269372.166413
1641276572.096902,1641276572.220618
