0.000000,0.008509,0.032635,0.495480
16.075039,16.080073,16.081681,16.576704
32.121858,32.127718,32.134440,32.622533
48.167200,48.173431,48.177531,48.670181
64.216118,64.221545,64.224637,64.717235
80.267297,80.275700,80.279167,80.776189
96.320549,96.330627,96.333707,96.816936
112.370234,112.376721,112.379370,112.872109
122.116648,122.124968,122.131939,122.618447,123.185791,123.197468,123.199867,123.683084,124.221200,124.229148,124.231591,124.720702
140.285001,140.290544,140.292183,140.781249
156.332986,156.338595,156.339697,156.834378
172.377113,172.384180,172.385777,172.880881
188.426611,188.434905,188.436960,188.927949
204.475017,204.482668,204.485314,205.005321
220.523912,220.529384,220.530685,221.023529
236.568762,236.573890,236.577218,236.631868
251.822751,251.828834,251.833447,252.324810
267.905991,267.916338,267.918053,268.406652
283.961872,283.967710,283.968755,284.458267
300.006211,300.020757,300.021737,300.521660
303.267188,303.279435,303.280542,303.769976,304.339736,304.347323,304.348582,304.841522,305.387285,305.395122,305.396567,305.894735
316.952594,316.960168,316.962558,317.453843
321.445910,321.455223,321.456319,321.946729
337.494199,337.501650,337.509015,338.001511
353.545669,353.553058,353.561592,354.041045
369.598977,369.605401,369.606411,370.099714
385.653722,385.659599,385.665540,386.152329
401.702656,401.708242,401.717768,402.203736
417.755360,417.760825,417.762404,418.255997
433.800064,433.806863,433.808255,434.300700
449.848723,449.889959,449.891027,450.353084
465.929174,465.936243,465.940434,466.430995
481.980270,481.988704,481.994811,482.481332
485.496673,485.503567,485.504929,485.976489,486.536923,486.543365,486.545953,487.038528
502.605084,502.622565,502.624406,503.108856
518.662087,518.669250,518.673451,519.168799
534.720358,534.727683,534.743027,535.222920
550.780029,550.786932,550.791028,551.281725,551.831449,551.838157,551.839721,552.332915
567.925376,567.932907,567.933843,568.427083
583.978170,583.989138,583.990458,584.479243
600.028596,600.035837,600.038362,600.529672
616.075847,616.081804,616.083461,616.576959
632.120029,632.125419,632.126894,632.626376
648.165402,648.171756,648.174504,648.665515
664.222508,664.228674,664.229879,664.725375
666.676029,666.684016,666.690502,667.177896,667.753228,667.760170,667.761184,668.247876,668.787198,668.797067,668.798140,669.292893
684.850405,684.855321,684.857294,685.348111
700.899048,700.912024,700.914016,701.400574
716.951730,716.960023,716.961200,717.452757
732.998691,733.004396,733.005901,733.499786
749.042692,749.049082,749.061381,749.544267
765.093342,765.105348,765.106566,765.593833
781.145707,781.151278,781.158052,781.645791
797.189794,797.197484,797.203661,797.695330
813.240610,813.281366,813.282987,813.743467
829.320500,829.326194,829.327161,829.821595
845.364163,845.378203,845.379355,845.865722
847.829264,847.835896,847.844429,848.252602,848.258668,848.259516,848.748920,848.925538,848.955944,848.961598,849.426616,849.977555,849.986908,849.993491,850.479849
851.854971,851.860675,851.872704,852.354339
867.947567,867.953984,867.955837,868.460724
883.993670,883.999582,884.000621,884.495479
900.038543,900.046034,900.047515,900.540455
916.090129,916.098552,916.100613,916.592274
932.137551,932.150741,932.189147,932.643244
948.207296,948.213195,948.214399,948.708477
964.252564,964.264987,964.271900,964.753235
980.305807,980.311860,980.316424,980.806949
996.359025,996.365032,996.366008,996.852068
1012.418346,1012.431707,1012.432909,1012.924086
1028.470221,1028.483330,1028.484423,1028.974690
1030.123780,1030.130716,1030.132311,1030.626894,1031.188054,1031.198339,1031.199635,1031.667930,1032.225519,1032.236977,1032.238609,1032.727521
1048.288067,1048.328563,1048.330137,1048.788368
1064.367790,1064.373510,1064.375257,1064.870229
1080.446425,1080.452065,1080.502790,1080.958738
1096.501453,1096.507080,1096.508944,1097.004592
1112.547105,1112.556073,1112.557149,1113.069636
1128.598651,1128.605217,1128.606787,1129.100152
1144.644777,1144.651223,1144.654498,1145.145285
1151.855465,1151.861380,1151.868726,1152.360637
1167.950086,1167.964864,1167.965645,1168.459481
1184.002862,1184.007916,1184.009473,1184.503893
1200.046735,1200.063299,1200.093391,1200.548142
1211.297023,1211.303707,1211.304684,1211.807677,1212.369226,1212.382966,1212.389504,1212.867338,1213.411214,1213.419434,1213.420314,1213.915103
1229.469640,1229.477449,1229.487223,1229.970366
1245.546400,1245.552344,1245.566174,1246.026051
1261.610029,1261.623724,1261.624961,1262.111091
1277.662235,1277.667898,1277.670637,1278.163169
1293.709261,1293.716185,1293.745547,1294.209886
1309.769956,1309.776833,1309.778936,1310.269162
1325.826403,1325.834339,1325.835392,1326.335401
1341.873441,1341.883976,1341.885125,1342.373565
1357.938202,1357.943928,1357.948472,1358.422710
1373.985319,1373.990506,1373.992078,1374.486612
1390.040349,1390.045733,1390.052539,1390.548725
1392.492229,1392.501694,1392.508210,1392.993815,1393.568394,1393.578138,1393.584023,1394.072880,1394.620855,1394.630410,1394.632219,1395.122251
1403.050429,1403.062538,1403.067067,1403.202748,1403.202749,1403.209379,1403.211559,1403.216822,1403.218293,1403.351687,1403.358774,1403.363966,1403.855480
1419.413590,1419.421261,1419.422939,1419.915078
1435.460204,1435.466013,1435.468365,1435.975898
1451.505015,1451.511299,1451.512325,1451.661073,1451.869602,1451.877381,1451.878868,1452.371126
1467.954775,1467.960542,1467.961706,1468.455697
1483.998823,1484.004437,1484.006081,1484.500501
1500.048374,1500.057782,1500.068114,1500.555095
1516.106028,1516.111616,1516.112563,1516.606021
1532.156433,1532.163206,1532.169084,1532.651737
1548.210719,1548.216659,1548.217882,1548.705549
1564.255062,1564.294232,1564.295541,1564.755540
1574.717508,1574.727017,1574.730103,1575.223392,1575.781571,1575.789905,1575.790964,1576.283243,1576.819017,1576.825727,1576.829390,1577.320314
