3215.192390
12215.213918
21215.231726,21215.236926
32015.287448,32015.287449
45752.003481,45752.004627
47552.018515,47552.022785
49352.041971,49352.041972
63752.114442,63752.114443
72752.206103
99752.283181
103352.293545
119552.356686,119552.357554
123152.383742
143082.241498
159282.435680
166482.379944,166482.379944
179082.470664
180882.511454
204282.554232
216596.298119
239996.390722
257996.429735
259796.422634
261596.554897,261596.554898
266996.555167,266996.560148
281396.632473,281396.634188
304796.669625,304796.671466
308396.698590
322796.757523,322796.757523
358796.934572
367796.990048
369597.015259
382197.046269
385797.076695
399476.566969,399476.572648
404876.576077,404876.576077
412076.622770,412076.622770
419276.676506
422876.678974
428276.722262
